,centroid-0,centroid-1,area,convex_area,extent,eccentricity,orientation
31,66.37637130801687,5343.726582278481,1185,1786,0.4103185595567867,0.9581644034252622,-0.28247841535482765
33,57.0,4305.5,12,12,1.0,0.6831300510639732,0.0
35,69.27702702702703,4921.155405405405,148,187,0.6324786324786325,0.7944632353290324,-0.28276567242342465
36,65.9090909090909,4257.227272727273,22,23,0.88,0.3579789930628059,-0.5880026035475682
39,76.04966139954853,4986.221218961626,443,612,0.5442260442260443,0.8959010003196771,-3.0938499033115447
40,70.5,4624.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
41,84.95196506550218,4228.655021834061,229,338,0.36935483870967745,0.9506142073015538,-2.0247596856083727
42,72.66666666666667,4294.666666666667,36,39,0.8571428571428571,0.5834269832414909,-0.11173830057031653
43,75.24324324324324,4211.324324324324,37,41,0.6851851851851852,0.8846657134609349,-1.0632570326212583
44,74.6,4279.5,40,43,0.8333333333333334,0.7744666668714337,-1.8251339731658096
45,74.0,4287.5,12,12,1.0,0.6831300510639732,0.0
46,82.14096916299559,4362.621145374449,227,282,0.5911458333333334,0.8281090008720237,-0.4356218776918688
47,75.33333333333333,5018.833333333333,18,19,0.9,0.6989295601575879,-2.839717986891075
48,78.5,5283.071428571428,56,66,0.7777777777777778,0.6876114333001516,-0.489049461029917
49,79.0,5291.5,12,12,1.0,0.6831300510639732,0.0
50,86.87878787878788,4378.848484848485,33,34,0.9428571428571428,0.729664380304437,-2.983249712645593
51,91.21176470588236,4596.4,85,115,0.5902777777777778,0.8373557350935931,-0.9980936524838053
52,87.5,4314.5,14,14,0.875,0.6708203932499369,-0.7853981633974483
53,88.72727272727273,4337.227272727273,22,25,0.7333333333333333,0.8348813715045968,-2.108177219138333
54,89.86486486486487,4615.594594594595,37,38,0.925,0.7710765332461221,-0.03864782063612404
55,99.17647058823529,5386.282352941176,170,217,0.568561872909699,0.8812664336992218,-1.3491687787282283
56,90.5,3952.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
57,93.0576923076923,4432.826923076923,156,196,0.5379310344827586,0.9614070085458348,-3.000659692490081
59,91.0,5254.0,25,25,1.0,0.0,-0.7853981633974483
61,91.58823529411765,4680.058823529412,17,18,0.85,0.7592834946661577,-2.706975250856862
63,100.15654952076677,4382.67731629393,313,420,0.28454545454545455,0.992460980191145,-2.8662100375427677
65,95.0,4667.571428571428,21,24,0.75,0.9146890665807529,-1.8241585232571804
66,96.5,5363.0,18,18,1.0,0.8783100656536799,-1.5707963267948966
