,centroid-0,centroid-1,area,convex_area,extent,eccentricity,orientation
64,982.5,1979.5,14,14,0.875,0.6708203932499369,-0.7853981633974483
66,986.5,1940.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
69,1006.0,1940.3650793650793,126,176,0.5185185185185185,0.9709672038474783,-1.4446951896819904
71,1018.25,1925.75,24,26,0.8571428571428571,0.8748177652797064,-1.7126933813990606
72,1039.094674556213,1941.189349112426,169,254,0.43333333333333335,0.9611003562184118,-1.3747135159715314
73,1030.607142857143,1926.375,56,62,0.8,0.9462137248256748,-1.5553103659271657
74,1042.5,1934.5,14,14,0.875,0.6708203932499369,-2.356194490192345
76,1052.6666666666667,143.0,18,18,0.9,0.6123724356957945,0.0
78,1054.0,137.5,12,12,1.0,0.6831300510639732,0.0
80,1058.0,673.5,18,18,0.9,0.6934837441847964,-1.1674605520841417
81,1070.03738317757,1959.5607476635514,107,190,0.30484330484330485,0.9695237981765779,-1.2363558257818115
83,1086.6511627906978,1971.5813953488373,43,49,0.5972222222222222,0.9581710010319258,-1.8967621611891126
84,1088.0,600.0,27,27,1.0,0.9486832980505138,-1.5707963267948966
85,1093.0714285714287,1852.0,28,31,0.8,0.8436180458044078,-2.8415310425449642
86,1094.4666666666667,604.4666666666667,30,32,0.8333333333333334,0.4349588362008401,-0.7853981633974487
87,1113.5932721712538,1951.7737003058105,327,532,0.20222634508348794,0.9897248073086332,-2.120186851896854
88,1110.1941176470589,1858.520588235294,340,405,0.6439393939393939,0.6154559316725449,-2.769895115382385
90,1107.0,536.0,15,15,1.0,0.816496580927726,0.0
91,1108.5,427.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
92,1113.0434782608695,580.5652173913044,23,25,0.8214285714285714,0.8841269058640504,-1.8185276597551068
93,1115.9,587.05,20,21,0.8,0.764095202159598,-0.8357590823919849
95,1118.0,594.0,15,15,1.0,0.816496580927726,0.0
96,1124.1969696969697,429.0,66,89,0.6,0.5306105890912711,-2.4108526160410033
98,1126.2857142857142,404.2857142857143,21,22,0.84,0.6613000712661082,-2.356194490192345
99,1132.377049180328,1918.8688524590164,61,63,0.7922077922077922,0.8438966972255941,-1.2023449782845141
100,1132.0,1840.38,50,54,0.7142857142857143,0.79215487404853,-0.2514659504253818
101,1132.45,445.85,20,23,0.6666666666666666,0.876131059718132,-2.184003675669406
102,1132.5,419.5,16,16,1.0,0.0,-0.7853981633974483
104,1138.0,458.5,12,12,1.0,0.6831300510639732,0.0
105,1144.1052631578948,457.8421052631579,19,21,0.76,0.7960160621181703,-0.7408429325331773
106,1146.0,1932.0,19,19,0.76,0.816496580927726,-0.7853981633974483
107,1146.6363636363637,1998.090909090909,11,11,0.9166666666666666,0.7084437526351621,-1.8338295362932782
108,1147.909090909091,1888.909090909091,22,22,0.88,0.4282593998234223,-2.356194490192345
109,1152.8775510204082,1917.8979591836735,49,56,0.5384615384615384,0.9626706426515483,-2.783231485025908
111,1155.0,429.0,15,15,1.0,0.816496580927726,-1.5707963267948966
112,1157.695652173913,440.5652173913044,46,54,0.5476190476190477,0.9523198607298307,-2.733575405290176
113,1164.2957746478874,1995.338028169014,71,88,0.44375,0.9819884870705236,-1.221934001953541
114,1158.3793103448277,1906.344827586207,29,32,0.6041666666666666,0.9210983438046292,-2.6240126769334537
115,1157.0,1967.5,12,12,1.0,0.6831300510639732,0.0
117,1159.945945945946,471.05405405405406,37,40,0.7551020408163265,0.6908127982110602,-2.3291147713358367
118,1159.0,452.0,15,15,1.0,0.816496580927726,0.0
119,1161.4,419.4,15,15,0.9375,0.4898979485566357,-0.7853981633974483
123,1166.6666666666667,362.0,18,18,0.9,0.6123724356957945,0.0
124,1166.5,431.5,16,16,1.0,0.0,-0.7853981633974483
125,1167.84375,445.90625,32,33,0.9142857142857143,0.6847340610348954,-3.0759018193224845
126,1172.4166666666667,453.9583333333333,24,25,0.8,0.787020578276199,-1.0702526159933388
127,1173.2,358.68,25,26,0.8333333333333334,0.7494626391669681,-2.6525754672822686
128,1175.4137931034484,385.3448275862069,29,30,0.90625,0.8740319540072328,-1.610317773884193
129,1175.8333333333333,566.6666666666666,18,19,0.9,0.6989295601575878,-1.2689216600961783
130,1176.6,442.6,15,15,0.9375,0.4898979485566357,-0.7853981633974483
131,1183.4054054054054,358.86486486486484,37,38,0.925,0.7710765332461221,-1.6094441474310206
132,1183.6,477.4,15,15,0.9375,0.4898979485566357,-2.356194490192345
133,1183.44,1974.08,25,26,0.8928571428571429,0.8481071219732257,-0.18722699820453648
134,1184.5,365.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
136,1193.5636363636363,534.7454545454545,55,59,0.859375,0.9727613286916024,-1.5769476092606842
137,1199.175,362.6125,80,113,0.5,0.9362157641902145,-1.2602362844846122
138,1197.1097560975609,382.5609756097561,82,87,0.7884615384615384,0.8200081313172393,-1.4183576036988188
139,1201.578125,375.53125,64,72,0.6666666666666666,0.9616305576802997,-1.3225723621567358
142,1204.0,324.0,15,15,1.0,0.816496580927726,0.0
143,1212.1351351351352,1740.418918918919,74,92,0.6491228070175439,0.9714939289524771,-1.5218669535378044
144,1205.6,333.4,15,15,0.9375,0.4898979485566357,-2.356194490192345
145,1208.3461538461538,480.88461538461536,26,26,0.8666666666666667,0.7053714156435726,-2.085099785228906
146,1210.7727272727273,1923.2272727272727,22,22,0.88,0.6106658672991558,-0.7853981633974485
149,1217.5,384.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
151,1224.0,478.0,15,15,1.0,0.816496580927726,-1.5707963267948966
153,1229.5,477.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
154,1240.4764705882353,405.5882352941176,170,219,0.47619047619047616,0.8862142224292766,-0.9867072221588332
155,1237.8947368421052,388.10526315789474,38,40,0.7916666666666666,0.8056161416777009,-1.1703258502314142
157,1241.4,431.4,15,15,0.9375,0.4898979485566357,-0.7853981633974483
158,1248.5925925925926,364.18518518518516,81,89,0.675,0.8301776084244648,-0.9709388977058142
162,1270.361111111111,306.037037037037,108,117,0.6923076923076923,0.679617172320153,-0.9447393569557996
163,1267.4,411.6,15,15,0.9375,0.4898979485566355,-0.785398163397448
164,1277.8648648648648,364.3243243243243,185,205,0.7007575757575758,0.9064216599559184,-1.4069435437822202
165,1272.1489361702127,373.82978723404256,47,51,0.746031746031746,0.7540753924289205,-1.0346188601087267
166,1272.111111111111,281.0,27,30,0.7714285714285715,0.8303699886990205,-1.8247830241987884
168,1274.2857142857142,339.7142857142857,21,22,0.875,0.8146907709715229,-0.1928404875846319
169,1279.0804597701149,396.1609195402299,87,100,0.6692307692307692,0.6383223437466149,-1.6991104145394678
170,1275.3333333333333,406.77777777777777,27,28,0.9,0.6777710871919358,-1.8548486930321102
174,1281.2142857142858,252.10714285714286,28,30,0.8,0.8124350150764709,-2.7621180005741284
175,1283.142857142857,259.0,21,22,0.84,0.5443145459415236,-2.2506478235809717
176,1288.612334801762,300.7136563876652,227,297,0.4892241379310345,0.9375410716273556,-2.841331603958716
177,1288.7972972972973,341.6081081081081,74,80,0.7474747474747475,0.6500033501672008,-1.0335096294331105
179,1290.5,264.0,12,12,1.0,0.6831300510639732,-1.5707963267948966
